??,??1,??2,??3,??4,??5,??6,??7,??8,??9,??10,??,??,???? ?? ???? ??? ?? ???????,?? ??? ???? ?? ???????,11. ????? ???? ???? ?? ????? ????.,?? ???1
1 ,6,4,4,4,5,2,4,6,3,6,2,4,1,2,6,
2 ,5,5,5,5,5,5,5,5,4,5,2,1,2,1,5,
3 ,7,5,6,4,7,5,5,4,6,4,1,4,1,1,5,
4 ,6,6,5,5,6,1,4,1,1,5,2,1,2,2,4,
5 ,7,6,6,6,6,5,6,5,5,5,2,2,4,1,6,
7 ,7,6,5,7,5,5,5,6,7,6,1,4,3,1,7,
8,7,7,7,7,7,7,7,3,7,7,2,1,4,1,7,
9,6,5,5,5,4,1,3,1,2,4,2,1,3,2,5,
10,6,6,4,4,4,6,6,5,6,6,2,1,3,1,6,
11,3,4,1,1,3,1,3,1,3,3,1,4,3,1,3,
12,7,7,7,6,7,6,7,7,7,7,1,4,4,1,7,
13,5,5,2,3,4,6,5,6,4,4,1,3,1,1,5,
14,6,6,5,5,5,5,6,6,6,5,1,4,3,1,6,
15,4,4,4,4,4,4,4,4,4,4,1,4,2,2,4,
16,4,6,3,5,5,5,6,4,5,6,1,4,4,4,6,
17,7,5,3,3,3,7,7,7,7,4,1,4,2,2,7,
18,6,6,4,4,5,5,4,5,6,5,1,4,3,1,5,
19,5,5,5,3,4,4,5,4,4,4,1,3,2,1,5,
20,7,7,5,6,3,3,5,7,7,7,2,3,4,2,6,
21,6,6,4,4,4,6,4,4,4,4,1,4,2,1,4,
22,5,5,5,5,6,6,6,6,6,5,1,4,2,1,5,
23,6,6,4,4,7,5,6,5,7,6,1,3,3,2,6,
24,3,3,4,3,4,2,2,2,2,3,2,4,4,2,2,
25,7,7,7,7,7,7,7,7,7,7,1,3,2,2,7,
26,6,6,5,5,4,4,5,5,4,3,1,4,3,1,5,
27,5,5,4,4,5,5,2,3,6,1,2,3,2,3,5,
28,7,7,7,6,7,6,7,7,7,7,1,4,4,1,7,
29,6,6,6,3,6,3,6,6,6,6,2,2,3,1,6,
30,4,4,5,4,5,5,5,4,5,5,1,2,2,1,5,
31,7,6,4,4,4,6,2,6,6,6,1,3,4,2,6,
32,7,7,4,4,4,4,4,4,4,4,1,2,3,1,4,
33,5,5,3,3,4,5,4,5,5,5,1,2,4,1,5,
34,5,5,3,4,4,5,5,6,5,5,1,3,3,2,5,
35,7,4,3,4,4,4,5,6,6,2,1,4,1,2,7,
36,5,5,5,5,4,4,4,4,5,4,1,2,3,2,4,
37,3,2,2,3,2,2,2,2,2,2,1,4,2,2,2,
38,7,7,4,4,4,5,6,4,4,6,2,4,4,2,6,
39,4,4,4,5,4,5,4,4,5,5,1,2,1,1,5,
40,5,4,2,3,3,1,3,3,3,3,1,3,1,1,3,
41,7,1,1,1,1,1,1,1,1,1,1,2,3,2,1,
42,5,5,5,5,5,5,6,5,5,5,1,2,2,1,5,
43,5,5,4,4,4,5,4,4,4,4,1,3,1,1,4,
44,5,5,5,5,5,5,5,5,5,5,1,3,1,2,5,
45,7,7,7,6,4,3,2,2,2,4,2,1,3,1,4,
46,7,5,5,5,6,5,6,5,6,6,1,2,3,3,6,
47,7,7,1,3,3,3,7,5,7,7,1,3,3,1,7,
48,3,3,3,3,2,4,6,7,6,3,1,3,1,2,3,
49,5,5,2,5,3,5,3,5,2,5,1,1,2,1,5,
50,6,6,1,4,7,5,4,3,5,2,1,2,4,1,5,
51,3,3,3,3,3,4,3,3,2,2,1,1,1,1,2,
52,4,4,1,1,1,5,4,4,4,4,1,3,4,1,4,
53,7,7,4,4,4,4,4,4,4,4,1,3,2,1,5,
54,7,7,2,3,1,5,5,4,5,4,1,3,4,2,5,
55,5,5,3,4,4,5,5,5,5,5,1,2,1,1,5,
56,4,3,3,2,5,5,5,5,5,6,1,2,3,1,5,
57,4,4,1,4,4,1,4,4,4,4,1,3,1,1,4,
58,7,6,3,5,7,6,6,6,6,5,2,3,4,1,6,
59,7,7,7,7,4,2,6,7,7,2,1,4,3,3,5,
60,5,5,5,5,5,6,4,4,4,5,1,4,2,1,5,
61,5,5,5,5,5,5,5,5,5,5,1,3,4,1,5,
62,7,4,2,2,7,1,7,1,7,7,1,4,2,2,3,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
